reasult,count
-231.129951,1.0
-129.928688,53.0
55.826531,2.0
140.762278,1.0
-126.939786,3.0
9.054009,9.0
-21.88107,1.0
-335.158019,16.0
19.928293,2.0
-284.077721,6.0
87.961901,2.0
-52.020067,28.0
430.859077,1.0
64.826396,3.0
-47.189649,3.0
207.306518,11.0
408.889982,1.0
-21.058969,1.0
-117.939921,4.0
133.120176,3.0
-307.136099,1.0
127.906043,1.0
156.857619,1.0
-16.904126,8.0
90.121755,6.0
24.002035,1.0
-350.120649,1.0
17.15952,6.0
127.977946,1.0
12.984485,1.0
-254.077704,1.0
-161.040286,1.0
-277.213209,2.0
-206.095631,2.0
-108.019794,3.0
-129.090863,5.0
-227.166532,1.0
-145.228464,1.0
39.821719,1.0
132.859137,1.0
128.118779,1.0
82.768031,1.0
262.01723,1.0
162.249138,4.0
-143.092125,2.0
-65.135053,1.0
-134.0752,1.0
-190.876319,8.0
-165.019477,3.0
-15.980527,2.0
-39.092699,5.0
-57.832284,2.0
139.288165,14.0
-78.903185,1.0
-158.22458,4.0
90.911445,4.0
-63.122558,2.0
142.909731,2.0
186.011082,1.0
45.834319,12.0
-108.14,1.0
46.822357,1.0
188.181001,2.0
139.951927,1.0
-170.020874,1.0
-193.272711,1.0
-138.071451,5.0
276.083184,1.0
-273.063255,5.0
-140.090472,1.0
22.971737,5.0
-127.960656,10.0
24.126445,3.0
137.896919,13.0
-248.171104,1.0
123.139848,36.0
-170.003766,10.0
-99.184564,1.0
-19.137219,2.0
148.875651,4.0
281.874271,1.0
-173.003901,1.0
-62.159672,4.0
-223.166259,3.0
-130.269205,1.0
111.213087,1.0
279.338881,1.0
-187.19111,2.0
71.252053,1.0
-73.765193,1.0
-100.050395,1.0
159.94012,3.0
-57.020597,1.0
-69.166137,14.0
22.958469,12.0
-145.042,1.0
-41.629823,1.0
-207.070918,3.0
-18.080831,3.0
-50.992273,5.0
-343.104469,11.0
-4.063663,7.0
20.865558,26.0
214.301099,2.0
-157.024241,2.0
193.230198,1.0
144.117065,1.0
-176.033426,45.0
-74.081027,8.0
64.244252,9.0
-87.033365,2.0
78.337163,5.0
-252.132789,1.0
50.970674,1.0
233.098199,2.0
