weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
103.993201,C3H4O2S1,4.34902753627053e-05,3,4,2,0,1,0,0,0,0,2.0,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.6666666666666666
114.031695,C5H6O3,3.75928247995928e-05,5,6,3,0,0,0,0,0,0,3.0,0.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6
127.07456200000001,C5H9O1N3,4.49138264443984e-05,5,9,1,3,0,0,0,0,0,3.0,0.2,1.8,0.6,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.3999999999999999,0.0,2.0,0.6
131.0041,C4H5O2N1S1,4.01109493853946e-05,4,5,2,1,1,0,0,0,0,3.0,0.5,1.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75
146.048013,C8H6O1N2,3.58286557424346e-05,8,6,1,2,0,0,0,0,0,7.0,0.125,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.25,0.0,6.0,0.875
164.047345,C9H8O3,4.11042758746574e-05,9,8,3,0,0,0,0,0,0,6.0,0.3333333333333333,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,-0.22222222222222232,0.0,3.0,0.6666666666666666
166.02661,C8H6O4,3.80147187033945e-05,8,6,4,0,0,0,0,0,0,6.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.25,0.0,2.0,0.75
173.05105,C7H11O2N1S1,3.92423575635674e-05,7,11,2,1,1,0,0,0,0,3.0,0.2857142857142857,1.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,-0.2857142857142856,0.0,1.0,0.42857142857142855
168.126263,C9H16O1N2,4.0584914794417e-05,9,16,1,2,0,0,0,0,0,3.0,0.1111111111111111,1.7777777777777777,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,-0.8888888888888893,0.0,2.0,0.3333333333333333
169.037509,C7H7O4N1,3.92687224065863e-05,7,7,4,1,0,0,0,0,0,5.0,0.5714285714285714,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.5714285714285716,0.0,1.0,0.7142857142857143
176.10486,C8H16O4,0.000336465644325772,8,16,4,0,0,0,0,0,0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333333,-1.0,0.0,-3.0,0.125
178.04774,C6H10O6,3.94007534785093e-05,6,10,6,0,0,0,0,0,0,2.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181818182,0.3333333333333335,0.0,-4.0,0.3333333333333333
180.04226,C9H8O4,9.17508384313817e-05,9,8,4,0,0,0,0,0,0,6.0,0.4444444444444444,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,2.0,0.6666666666666666
180.078645,C10H12O3,4.90692604361418e-05,10,12,3,0,0,0,0,0,0,5.0,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,-0.5999999999999996,0.0,2.0,0.5
184.037175,C8H8O5,7.27153841613747e-05,8,8,5,0,0,0,0,0,0,5.0,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.625
188.10486,C9H16O4,3.74640658265895e-05,9,16,4,0,0,0,0,0,0,2.0,0.4444444444444444,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8888888888888893,0.0,-2.0,0.2222222222222222
189.03857200000002,C5H7O5N3,3.84387940064759e-05,5,7,5,3,0,0,0,0,0,4.0,1.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,-1.0,2.4,0.0,-1.0,0.8
190.02661,C10H6O4,4.62647895845415e-05,10,6,4,0,0,0,0,0,0,8.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.20000000000000018,0.0,4.0,0.8
190.062995,C11H10O3,5.89649149963604e-05,11,10,3,0,0,0,0,0,0,7.0,0.2727272727272727,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,-0.3636363636363633,0.0,4.0,0.6363636363636364
192.04226,C10H8O4,6.64814151490297e-05,10,8,4,0,0,0,0,0,0,7.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,3.0,0.7
194.05791,C10H10O4,6.23870791422853e-05,10,10,4,0,0,0,0,0,0,6.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,-0.20000000000000018,0.0,2.0,0.6
194.021525,C9H6O5,4.78190741816895e-05,9,6,5,0,0,0,0,0,0,7.0,0.5555555555555556,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.44444444444444464,0.0,2.0,0.7777777777777778
194.09429500000002,C11H14O3,5.30963115582059e-05,11,14,3,0,0,0,0,0,0,5.0,0.2727272727272727,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.7272727272727275,0.0,2.0,0.45454545454545453
196.037175,C9H8O5,7.16181215184987e-05,9,8,5,0,0,0,0,0,0,6.0,0.5555555555555556,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.22222222222222232,0.0,1.0,0.6666666666666666
196.05243000000002,C13H8O2,4.03506024235069e-05,13,8,2,0,0,0,0,0,0,10.0,0.15384615384615385,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.72,-0.3076923076923075,0.0,8.0,0.7692307692307693
196.07356,C10H12O4,4.16603258341632e-05,10,12,4,0,0,0,0,0,0,5.0,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,-0.40000000000000036,0.0,1.0,0.5
