weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
113.99531,C4H2O4,2.52131028453136e-05,4,2,4,0,0,0,0,0,0,4.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.5,0.0,0.0,1.0
114.013936,C5H6O1S1,2.66523048316281e-05,5,6,1,0,1,0,0,0,0,3.0,0.2,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.42857142857142855,-0.40000000000000036,0.0,2.0,0.6
139.993201,C6H4O2S1,3.08002473252664e-05,6,4,2,0,1,0,0,0,0,5.0,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333335,0.0,3.0,0.8333333333333334
131.015333,C3H5O1N3S1,2.5239191773862e-05,3,5,1,3,1,0,0,0,0,3.0,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,2.666666666666667,0.0,2.0,1.0
143.094629,C7H13O2N1,2.56755668900653e-05,7,13,2,1,0,0,0,0,0,2.0,0.2857142857142857,1.8571428571428572,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571428571428568,0.0,0.0,0.2857142857142857
145.110279,C7H15O2N1,2.68269626510133e-05,7,15,2,1,0,0,0,0,0,1.0,0.2857142857142857,2.142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,-0.18181818181818182,-1.1428571428571432,0.0,-1.0,0.14285714285714285
146.014999,C4H6O2N2S1,2.74320943629654e-05,4,6,2,2,1,0,0,0,0,3.0,0.5,1.5,0.5,0.25,0.0,0.0,0.0,0.0,-2.0,1.5,0.0,1.0,0.75
155.069477,C6H9O2N3,2.76562751459629e-05,6,9,2,3,0,0,0,0,0,4.0,0.3333333333333333,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,2.0,0.6666666666666666
164.025564,C4H8O3N2S1,2.56149117740699e-05,4,8,3,2,1,0,0,0,0,2.0,0.75,2.0,0.5,0.25,0.0,0.0,0.0,0.0,-5.0,1.5,0.0,-1.0,0.5
166.02661,C8H6O4,4.90324260403646e-05,8,6,4,0,0,0,0,0,0,6.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.25,0.0,2.0,0.75
170.021525,C7H6O5,2.98671311236795e-05,7,6,5,0,0,0,0,0,0,5.0,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.5714285714285716,0.0,0.0,0.7142857142857143
172.97828,C5H3O4N1S1,2.63977373469663e-05,5,3,4,1,1,0,0,0,0,5.0,0.8,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.4,2.0,0.0,1.0,1.0
172.012023,C5H4O5N2,2.61220095726506e-05,5,4,5,2,0,0,0,0,0,5.0,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.2,2.4,0.0,0.0,1.0
173.068809,C7H11O4N1,2.56254130606746e-05,7,11,4,1,0,0,0,0,0,3.0,0.5714285714285714,1.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.42857142857142855
174.01644,C6H6O6,2.86239312489227e-05,6,6,6,0,0,0,0,0,0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.0,-2.0,0.6666666666666666
176.10486,C8H16O4,0.000164278408163137,8,16,4,0,0,0,0,0,0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333333,-1.0,0.0,-3.0,0.125
177.08235,C7H15O2N1S1,3.45770041664797e-05,7,15,2,1,1,0,0,0,0,1.0,0.2857142857142857,2.142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,-0.4444444444444444,-0.8571428571428568,0.0,-1.0,0.14285714285714285
178.02661,C9H6O4,2.98978989734184e-05,9,6,4,0,0,0,0,0,0,7.0,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.22222222222222232,0.0,3.0,0.7777777777777778
178.062995,C10H10O3,3.96051227084592e-05,10,10,3,0,0,0,0,0,0,6.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,-0.40000000000000036,0.0,3.0,0.6
180.04226,C9H8O4,4.8393359006744e-05,9,8,4,0,0,0,0,0,0,6.0,0.4444444444444444,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,2.0,0.6666666666666666
180.078645,C10H12O3,2.76440784075785e-05,10,12,3,0,0,0,0,0,0,5.0,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,-0.5999999999999996,0.0,2.0,0.5
180.11503000000002,C11H16O2,2.8603309823788e-05,11,16,2,0,0,0,0,0,0,4.0,0.18181818181818182,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,-1.0909090909090908,0.0,2.0,0.36363636363636365
182.05791,C9H10O4,2.83610310787698e-05,9,10,4,0,0,0,0,0,0,5.0,0.4444444444444444,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,-0.22222222222222232,0.0,1.0,0.5555555555555556
