molecular weight,molecular formula,strength
305.056925,C11H15O7N1S1,1715107.0
305.07218,C15H15O4N1S1,1167532.0
305.104543,C11H19O5N3S1,2737598.0
307.0514450000001,C14H13O5N1S1,2332203.0
308.083079,C14H16O4N2S1,1254026.0
309.03071,C13H11O6N1S1,1646779.0
309.1147130000001,C14H19O3N3S1,1215981.0
311.0099750000001,C12H9O7N1S1,1161053.0
311.082745,C14H17O5N1S1,2618249.0
311.990836,C8H12O5N2S3,2244528.0
313.06201,C13H15O6N1S1,2697278.0
313.098395,C14H19O5N1S1,1634901.0
315.0565300000001,C16H13O4N1S1,1357839.0
315.114045,C14H21O5N1S1,2314547.0
315.9749870000001,C8H4O8N4S1,1808717.0
317.006152,C8H15O6N1S3,1988566.0
317.039166,C12H15O5N1S2,1874411.0
317.056925,C12H15O7N1S1,2176502.0
317.09331,C13H19O6N1S1,1849869.0
318.001401,C7H14O6N2S3,1271118.0
319.0514450000001,C15H13O5N1S1,1279981.0
319.072575,C12H17O7N1S1,1679611.0
319.120193,C12H21O5N3S1,3523866.0
319.156578,C13H25O4N3S1,2888497.0
321.067095,C15H15O5N1S1,2000390.0
321.088225,C12H19O7N1S1,1355028.0
322.1021,C12H22O4N2S2,2522284.0
323.04636,C14H13O6N1S1,1978139.0
323.082745,C15H17O5N1S1,1928499.0
324.04498,C10H16O6N2S2,1458355.0
325.025625,C13H11O7N1S1,1728068.0
325.06201,C14H15O6N1S1,4582493.000000001
327.041275,C13H13O7N1S1,2254234.0
327.07766,C14H17O6N1S1,2543027.0
327.114045,C15H21O5N1S1,1773516.0
329.039166,C13H15O5N1S2,1417978.0
329.056925,C13H15O7N1S1,2349830.0
329.07218,C17H15O4N1S1,4222737.0
329.09331,C14H19O6N1S1,2714912.0
329.1296950000001,C15H23O5N1S1,1767737.0
331.03619,C12H13O8N1S1,1869422.0
331.072575,C13H17O7N1S1,2547848.0
332.067824,C12H16O7N2S1,1821000.0
333.034081,C12H15O6N1S2,1562617.0
333.0518400000001,C12H15O8N1S1,1665030.0
333.067095,C16H15O5N1S1,1976337.0
333.088225,C13H19O7N1S1,1577504.0
333.1609950000001,C15H27O5N1S1,1465940.0
334.138485,C14H26O3N2S2,4337940.0
334.980332,C7H13O8N1S3,1779573.0
335.04636,C15H13O6N1S1,1331365.0
335.06749,C12H17O8N1S1,1491124.0
335.082745,C16H17O5N1S1,1513919.0
335.1151080000001,C12H21O6N3S1,1544663.0
336.114379,C16H20O4N2S1,1509297.0
337.025625,C14H11O7N1S1,1526351.0
337.06201,C15H15O6N1S1,2255210.0
338.151159,C13H26O6N2S1,49497232.0
339.07766,C15H17O6N1S1,2516807.0
341.056925,C14H15O7N1S1,2923807.0
341.078922,C12H23O4N1S3,3274032.0
341.09331,C15H19O6N1S1,2355003.0
342.09193,C11H22O6N2S2,3326519.0
343.021802,C10H17O6N1S3,1506051.0
343.03619,C13H13O8N1S1,1447694.0
343.10896,C15H21O6N1S1,1608519.0
345.0518400000001,C13H15O8N1S1,1613106.0
345.088225,C14H19O7N1S1,1665871.0
345.1246100000001,C15H23O6N1S1,1915755.0
345.172228,C15H27O4N3S1,2538897.0
347.0497310000001,C13H17O6N1S2,1406305.0
347.06749,C13H17O8N1S1,1925999.0
347.103875,C14H21O7N1S1,1554828.0
347.1151080000001,C13H21O6N3S1,1708949.0
347.1514930000001,C14H25O5N3S1,2280882.0
349.057988,C11H15O8N3S1,2359728.0
349.06201,C16H15O6N1S1,1564339.0
349.0831400000001,C13H19O8N1S1,1425604.0
351.041275,C15H13O7N1S1,1845764.0
351.07766,C16H17O6N1S1,1426466.0
351.0810310000001,C13H21O6N1S2,1383461.0
353.056925,C15H15O7N1S1,2454157.0
353.09331,C16H19O6N1S1,2141867.0
354.161329,C17H26O4N2S1,2256940.0
355.03619,C14H13O8N1S1,1790736.0
355.072575,C15H17O7N1S1,2397999.0
355.10896,C16H21O6N1S1,1711950.0
357.0518400000001,C14H15O8N1S1,1957324.0
357.088225,C15H19O7N1S1,20914156.0
357.1246100000001,C16H23O6N1S1,1465355.0
359.0497310000001,C14H17O6N1S2,1448084.0
359.06749,C14H17O8N1S1,2448036.0
359.103875,C15H21O7N1S1,1802436.0
359.1878780000001,C16H29O4N3S1,4126478.0
361.065381,C14H19O6N1S2,1443207.0
361.0831400000001,C14H19O8N1S1,2102679.0
361.1559100000001,C16H27O6N1S1,1523160.0
361.167143,C15H27O5N3S1,1922018.0
363.062405,C13H17O9N1S1,1535622.0
363.07766,C17H17O6N1S1,1587348.0
363.1100230000001,C13H21O7N3S1,1654961.0
363.125278,C17H21O4N3S1,1500863.0
363.1464080000001,C14H25O6N3S1,1957074.0
364.109294,C17H20O5N2S1,1535037.0
365.09331,C17H19O6N1S1,1640897.0
366.146074,C14H26O7N2S1,3653518.0
367.072575,C16H17O7N1S1,2092780.0
369.0518400000001,C15H15O8N1S1,1825333.0
369.088225,C16H19O7N1S1,2000472.0
371.0497310000001,C15H17O6N1S2,2442673.0
371.06749,C15H17O8N1S1,2428865.0
371.103875,C16H21O7N1S1,1508837.0
373.0831400000001,C15H19O8N1S1,2624880.0
375.0446460000001,C14H17O7N1S2,1823499.0
375.0480170000001,C11H21O7N1S3,2447631.0
375.062405,C14H17O9N1S1,1857821.0
375.09879,C15H21O8N1S1,1634369.0
375.1464080000001,C15H25O6N3S1,2595185.0
377.125673,C14H23O7N3S1,2650947.0
377.162058,C15H27O6N3S1,9984360.000000002
379.072575,C17H17O7N1S1,1981718.0
381.0518400000001,C16H15O8N1S1,1936177.0
381.088225,C17H19O7N1S1,1958231.0
381.135843,C17H23O5N3S1,2496905.0
383.06749,C16H17O8N1S1,2391960.0
383.103875,C17H21O7N1S1,1920447.0
385.0831400000001,C16H19O8N1S1,1824807.0
387.062405,C15H17O9N1S1,2333368.0
387.09879,C16H21O8N1S1,1814753.0
388.141657,C15H24O6N4S1,2566005.0
389.060296,C15H19O7N1S2,44825480.0
389.0780550000001,C15H19O9N1S1,1727899.0
389.125673,C15H23O7N3S1,2963410.0
391.1413230000001,C15H25O7N3S1,2089697.0
391.1777080000001,C16H29O6N3S1,9450763.999999998
393.088225,C18H19O7N1S1,1868749.0
393.120588,C14H23O8N3S1,2272755.0
393.179621,C21H31O2N1S2,2857530.0
395.06749,C17H17O8N1S1,2151178.0
395.1878780000001,C19H29O4N3S1,1861532.0
397.0467550000001,C16H15O9N1S1,1766517.0
