weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
154.008851,C7H6O2S1,1334530.0,7,6,2,0,1,0,0,0,0,5.0,0.2857142857142857,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,3.0,0.7142857142857143
154.02661,C7H6O4,2881352.0,7,6,4,0,0,0,0,0,0,5.0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.2857142857142856,0.0,1.0,0.7142857142857143
154.045236,C8H10O1S1,975598.0,8,10,1,0,1,0,0,0,0,4.0,0.125,1.25,0.0,0.125,0.0,0.0,0.0,0.0,0.5384615384615384,-0.75,0.0,3.0,0.5
154.062995,C8H10O3,1808212.0,8,10,3,0,0,0,0,0,0,4.0,0.375,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,-0.5,0.0,1.0,0.5
154.09938,C9H14O2,1988512.0,9,14,2,0,0,0,0,0,0,3.0,0.2222222222222222,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,-1.1111111111111107,0.0,1.0,0.3333333333333333
154.135765,C10H18O1,995883.0,10,18,1,0,0,0,0,0,0,2.0,0.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,-1.5999999999999996,0.0,1.0,0.2
155.021859,C6H5O4N1,863412.0,6,5,4,1,0,0,0,0,0,5.0,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,0.0,1.0,0.8333333333333334
155.058244,C7H9O3N1,792224.0,7,9,3,1,0,0,0,0,0,4.0,0.42857142857142855,1.2857142857142858,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,1.0,0.5714285714285714
156.024501,C7H8O2S1,1789293.0,7,8,2,0,1,0,0,0,0,4.0,0.2857142857142857,1.1428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.6363636363636364,-0.2857142857142856,0.0,2.0,0.5714285714285714
156.04226,C7H8O4,1227507.0,7,8,4,0,0,0,0,0,0,4.0,0.5714285714285714,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.5714285714285714
156.053493,C6H8O3N2,944439.0,6,8,3,2,0,0,0,0,0,4.0,0.5,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.6666666666666665,0.0,1.0,0.6666666666666666
156.078645,C8H12O3,1913536.0,8,12,3,0,0,0,0,0,0,3.0,0.375,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.75,0.0,0.0,0.375
156.11503,C9H16O2,3522701.0,9,16,2,0,0,0,0,0,0,2.0,0.2222222222222222,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,-1.333333333333333,0.0,0.0,0.2222222222222222
158.003766,C6H6O3S1,1060467.0,6,6,3,0,1,0,0,0,0,4.0,0.5,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7777777777777778,0.3333333333333335,0.0,1.0,0.6666666666666666
158.05791,C7H10O4,1212615.0,7,10,4,0,0,0,0,0,0,3.0,0.5714285714285714,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,-0.2857142857142856,0.0,-1.0,0.42857142857142855
