molecular weight,molecular formula,strength
240.009246,C10H8O5S1,7034289.0
240.012617,C7H12O5S2,1356083.0
240.045631,C11H12O4S1,5389761.0
240.049002,C8H16O4S2,1479619.0
240.066761,C8H16O6S1,2284747.0
240.082016,C12H16O3S1,5702098.0
241.974123,C6H10O4S3,1032983.0
242.024896,C10H10O5S1,8663342.0
242.028267,C7H14O5S2,951087.0
242.061281,C11H14O4S1,10805566.0
242.097666,C12H18O3S1,3463502.0
243.986402,C9H8O4S2,3828879.0
244.004161,C9H8O6S1,3353239.0
244.040546,C10H12O5S1,16376999.0
244.076931,C11H16O4S1,7272631.0
244.113316,C12H20O3S1,3327687.0
245.969038,C5H10O5S3,3816439.0
246.002052,C9H10O4S2,2894854.0
246.019811,C9H10O6S1,3291150.0
246.038437,C10H14O3S2,1602070.0
246.092581,C11H18O4S1,5879854.0
246.128966,C12H22O3S1,6491198.0
247.981317,C8H8O5S2,1529451.0
247.999076,C8H8O7S1,1098099.0
248.014331,C12H8O4S1,1068410.0
248.017702,C9H12O4S2,2397563.0
248.035461,C9H12O6S1,2213763.0
248.050716,C13H12O3S1,1620106.0
248.071846,C10H16O5S1,5322643.0
248.108231,C11H20O4S1,7890851.0
248.144616,C12H24O3S1,2696115.0
249.996967,C8H10O5S2,3782879.0
250.029981,C12H10O4S1,2089710.0
250.033352,C9H14O4S2,3260143.0
250.051111,C9H14O6S1,2065143.0
250.066366,C13H14O3S1,7794430.0
250.069737,C10H18O3S2,3205887.0
252.009246,C11H8O5S1,2497874.0
252.012617,C8H12O5S2,2091860.0
252.045631,C12H12O4S1,3040866.0
252.049002,C9H16O4S2,21244516.0
252.066761,C9H16O6S1,2076779.0
252.082016,C13H16O3S1,1261426.0
253.988511,C10H6O6S1,1237431.0
254.024896,C11H10O5S1,4185543.0
254.028267,C8H14O5S2,1527241.0
254.061281,C12H14O4S1,5730775.0
254.064652,C9H18O4S2,989913.0
254.082411,C9H18O6S1,1364832.0
254.097666,C13H18O3S1,3813863.0
255.986402,C10H8O4S2,1520166.0
256.004161,C10H8O6S1,2057518.0
256.0405459999999,C11H12O5S1,17568062.0
256.076931,C12H16O4S1,11753806.0
256.113316,C13H20O3S1,2099038.0
258.002052,C10H10O4S2,1581983.0
258.019811,C10H10O6S1,5619879.0
258.038437,C11H14O3S2,2381487.0
258.056196,C11H14O5S1,38507704.0
258.092581,C12H18O4S1,6816967.0
258.128966,C13H22O3S1,1266903.0
259.981317,C9H8O5S2,1257482.0
259.984688,C6H12O5S3,2841612.0
259.999076,C9H8O7S1,2138642.0
260.017702,C10H12O4S2,2477083.0
260.035461,C10H12O6S1,10881058.0
260.0718460000001,C11H16O5S1,4261939.0
260.108231,C12H20O4S1,10870851.0
260.144616,C13H24O3S1,1163347.0
261.996967,C9H10O5S2,1990026.0
262.033352,C10H14O4S2,2574747.0
262.051111,C10H14O6S1,4035491.0
262.066366,C14H14O3S1,3984809.0
262.087496,C11H18O5S1,4543411.000000001
262.123881,C12H22O4S1,12782531.0
262.160266,C13H26O3S1,1505747.0
264.009246,C12H8O5S1,1180174.0
264.012617,C9H12O5S2,11384591.0
264.030376,C9H12O7S1,1226135.0
264.045631,C13H12O4S1,1919006.0
264.049002,C10H16O4S2,3612447.0
264.066761,C10H16O6S1,3961639.0
264.082016,C14H16O3S1,4687662.0
264.139531,C12H24O4S1,2725704.0
265.991882,C8H10O6S2,1107081.0
266.024896,C12H10O5S1,3473048.0
266.028267,C9H14O5S2,1974169.0
266.046026,C9H14O7S1,1479585.0
266.061281,C13H14O4S1,2372264.0
266.064652,C10H18O4S2,3109546.0
266.082411,C10H18O6S1,3765938.0
266.097666,C14H18O3S1,1115577.0
266.155181,C12H26O4S1,32907986.0
267.989773,C8H12O4S3,1366545.0
268.004161,C11H8O6S1,3040792.0
268.0405459999999,C12H12O5S1,6352425.0
268.043917,C9H16O5S2,1477930.0
268.059172,C13H16O2S2,1086513.0
268.061676,C9H16O7S1,2076722.0
268.076931,C13H16O4S1,4304441.0
268.113316,C14H20O3S1,8744522.0
270.002052,C11H10O4S2,2156200.0
270.005423,C8H14O4S3,2019241.0
270.019811,C11H10O6S1,4155824.0
270.056196,C12H14O5S1,18393536.0
270.092581,C13H18O4S1,11235793.0
270.128966,C14H22O3S1,1636322.0
271.984688,C7H12O5S3,1127224.0
271.999076,C10H8O7S1,3551039.0
272.017702,C11H12O4S2,5681480.0
272.035461,C11H12O6S1,11816272.0
272.0718460000001,C12H16O5S1,72150368.0
272.108231,C13H20O4S1,6621554.0
272.144616,C14H24O3S1,2680194.0
273.963953,C6H10O6S3,2438352.0
273.996967,C10H10O5S2,1684703.0
274.000338,C7H14O5S3,3021025.0
274.014726,C10H10O7S1,4958440.0
274.033352,C11H14O4S2,6290672.0
274.051111,C11H14O6S1,28487928.0
274.087496,C12H18O5S1,6591754.0
274.123881,C13H22O4S1,6830363.0
274.160266,C14H26O3S1,1888043.0
275.958473,C9H8O4S3,3436664.0
275.979603,C6H12O6S3,2894978.0
276.012617,C10H12O5S2,2261137.0
276.030376,C10H12O7S1,4958362.0
276.045631,C14H12O4S1,1245985.0
276.049002,C11H16O4S2,2577570.0
276.066761,C11H16O6S1,4697259.0
276.082016,C15H16O3S1,4399282.0
276.103146,C12H20O5S1,8035516.0
276.139531,C13H24O4S1,6958285.0
276.175916,C14H28O3S1,25449694.0
277.991882,C9H10O6S2,2467901.0
278.009641,C9H10O8S1,1043013.0
278.024896,C13H10O5S1,1850444.0
278.028267,C10H14O5S2,2859598.0
278.046026,C10H14O7S1,2090582.0
278.061281,C14H14O4S1,1854558.0
278.064652,C11H18O4S2,2579039.0
278.082411,C11H18O6S1,4034664.0
278.097666,C15H18O3S1,1380847.0
278.101037,C12H22O3S2,6029425.0
278.118796,C12H22O5S1,7023737.0
278.155181,C13H26O4S1,1038986.0
279.989773,C9H12O4S3,1253116.0
280.004161,C12H8O6S1,1573634.0
280.007532,C9H12O6S2,2056196.0
280.0405459999999,C13H12O5S1,3280404.0
280.043917,C10H16O5S2,3781654.0
280.061676,C10H16O7S1,2303518.0
280.076931,C14H16O4S1,1757222.0
280.080302,C11H20O4S2,1627687.0
280.098061,C11H20O6S1,2653744.0
280.113316,C15H20O3S1,1814583.0
281.969038,C8H10O5S3,2511293.0
281.983426,C11H6O7S1,1715140.0
282.019811,C12H10O6S1,3779542.0
282.023182,C9H14O6S2,1076696.0
282.040941,C9H14O8S1,1350881.0
282.056196,C13H14O5S1,6071272.0
282.059567,C10H18O5S2,1666538.0
282.092581,C14H18O4S1,3682298.0
282.128966,C15H22O3S1,10522636.0
282.150096,C12H26O5S1,1064982.0
283.981317,C11H8O5S2,1208220.0
283.999076,C11H8O7S1,1470885.0
