molecular weight,molecular formula,strength
125.084064,C7H11O1N1,2.54280749846666e-05
126.06808,C7H10O2,2.26117316903108e-05
139.099714,C8H13O1N1,2.39726154139205e-05
152.094963,C8H12O1N2,2.18622957862124e-05
159.071785,C7H13O1N1S1,2.29147067654193e-05
166.020084,C7H6O1N2S1,2.47722360466294e-05
165.053827,C7H7O2N3,2.37323797863287e-05
166.02661,C8H6O4,5.47444363350472e-05
174.06808,C11H10O2,3.40297192567584e-05
176.08373,C11H12O2,2.57270548591077e-05
176.10486,C8H16O4,2.52347573546552e-05
178.02661,C9H6O4,2.65855449443848e-05
180.04226,C9H8O4,5.15485262126186e-05
180.078645,C10H12O3,3.15654089146513e-05
182.09429500000002,C10H14O3,2.47543771581762e-05
183.046633,C7H9O1N3S1,2.28791028118939e-05
184.037175,C8H8O5,2.49219024100902e-05
184.07356000000001,C9H12O4,2.70318236559654e-05
186.136828,C9H18O2N2,3.04073243086766e-05
188.068475,C8H12O5,2.27326917971249e-05
188.08373,C12H12O2,2.50522529458233e-05
188.10486,C9H16O4,3.42253133543865e-05
190.062995,C11H10O3,2.48640346032734e-05
190.074228,C10H10O2N2,2.28244106774023e-05
190.09938000000002,C12H14O2,3.22364432740301e-05
192.04226,C10H8O4,3.15586705705058e-05
192.078645,C11H12O3,3.53994584393971e-05
192.09324900000001,C7H16O2N2S1,2.5981928173475e-05
192.11503000000002,C12H16O2,2.30857150127868e-05
192.09977500000002,C8H16O5,2.31759200420991e-05
193.98514,C8H2O6,2.58197412381222e-05
194.021525,C9H6O5,3.2052834778404e-05
194.05791,C10H10O4,3.68260637831014e-05
194.09429500000002,C11H14O3,4.90821442849803e-05
196.037175,C9H8O5,6.13599650525989e-05
196.07356,C10H12O4,3.02808437678919e-05
196.109945,C11H16O3,3.55727545367195e-05
197.068809,C9H11O4N1,2.38990968922387e-05
198.05282499999998,C9H10O5,4.00882191131763e-05
198.08921,C10H14O4,2.73781882038484e-05
200.014331,C8H8O4S1,4.25002276117894e-05
200.025564,C7H8O3N2S1,2.42361279228932e-05
200.03209,C8H8O6,3.20278960756629e-05
200.068475,C9H12O5,3.28382730178607e-05
202.004829,C6H6O4N2S1,2.59054274792153e-05
202.09938000000002,C13H14O2,3.0253753803253e-05
203.069477,C10H9O2N3,0.00015034024340476
204.04226,C11H8O4,2.77560590635468e-05
204.11503000000002,C13H16O2,3.68480089309265e-05
206.021525,C10H6O5,4.55132007965389e-05
206.05791,C11H10O4,5.16326758380705e-05
206.09429500000002,C12H14O3,4.85326277669817e-05
207.053159,C10H9O4N1,2.31991286294515e-05
208.037175,C10H8O5,4.57642154982958e-05
208.00079,C9H4O6,3.02678792848147e-05
208.040546,C7H12O5S1,4.43772320734605e-05
208.07356,C11H12O4,6.94485390532357e-05
208.109945,C12H16O3,6.28401925910148e-05
209.03242400000002,C9H7O5N1,2.5480843504022e-05
210.01644,C9H6O6,3.2978321305641e-05
210.05282499999998,C10H10O5,5.75543030790334e-05
210.125595,C12H18O3,3.49957041428967e-05
210.08921,C11H14O4,6.90586142975068e-05
211.08445899999998,C10H13O4N1,2.35032305560302e-05
212.03209,C9H8O6,4.16972719540221e-05
212.06847499999998,C10H12O5,4.02056962245368e-05
212.10486,C11H16O4,3.89821859392577e-05
214.04774,C9H10O6,3.15635080641913e-05
214.08412500000003,C10H14O5,3.17036929400286e-05
216.056864,C8H12O3N2S1,2.63600152975969e-05
216.04226,C12H8O4,4.26309879116935e-05
216.06339000000003,C9H12O6,3.01277171736537e-05
216.09977500000002,C10H16O5,3.17073694352296e-05
216.078645,C13H12O3,3.09583091482879e-05
216.11503000000002,C14H16O2,4.4449896919786e-05
218.021525,C11H6O5,2.48859342217461e-05
218.05791,C12H10O4,5.19387127621234e-05
218.09429500000002,C13H14O3,6.23707280567579e-05
218.11542500000002,C10H18O5,2.33773988085164e-05
218.13068,C14H18O2,2.89838377256072e-05
219.064392,C10H9O3N3,0.00046786322140589
220.037175,C11H8O5,6.43581525801777e-05
220.07356,C12H12O4,7.42307031933287e-05
220.109945,C13H16O3,7.63173703224991e-05
220.14633,C14H20O2,3.54942619332952e-05
222.01644,C10H6O6,5.15667151888762e-05
222.05282499999998,C11H10O5,7.67313004292462e-05
222.08921,C12H14O4,0.000118714792656718
222.125595,C13H18O3,7.55664091850975e-05
222.16198,C14H22O2,4.09148955635098e-05
223.048074,C10H9O5N1,2.58465352619709e-05
224.03209,C10H8O6,6.27276781790587e-05
224.06847499999998,C11H12O5,8.21344394058264e-05
224.10486,C12H16O4,8.97341647504501e-05
225.027339,C9H7O6N1,2.43143018208512e-05
224.141245,C13H20O3,3.0489516171978e-05
225.063724,C10H11O5N1,2.68671895179247e-05
226.04774,C10H10O6,7.60332216345809e-05
226.062995,C14H10O3,2.44693634125637e-05
226.08412500000003,C11H14O5,0.000102946134004587
226.12051,C12H18O4,6.7816744300899e-05
228.027005,C9H8O7,3.24594688064395e-05
228.04226,C13H8O4,2.49592820083567e-05
228.045631,C10H12O4S1,2.3598534872804e-05
228.06339,C10H12O6,8.02357515901061e-05
228.09977500000002,C11H16O5,7.99097272803784e-05
228.11503000000002,C15H16O2,2.70462792253315e-05
228.172545,C13H24O3,4.2682675108931e-05
228.20893,C14H28O2,2.56775986001346e-05
230.01499900000002,C11H6O2N2S1,2.38114756536714e-05
230.042655,C9H10O7,3.18627724970846e-05
230.05791,C13H10O4,4.74434176887507e-05
230.07904000000002,C10H14O6,4.64878590242969e-05
230.09429500000002,C14H14O3,4.91104863068084e-05
230.11542500000002,C11H18O5,2.93079498025369e-05
230.13068,C15H18O2,2.94129860183721e-05
231.053159,C12H9O4N1,2.8276106708247e-05
232.037175,C12H8O5,5.69020951068449e-05
232.07356,C13H12O4,5.81145986711972e-05
232.09469,C10H16O6,3.17325244023943e-05
232.109945,C14H16O3,5.83014056038247e-05
232.14633,C15H20O2,2.60334446356412e-05
233.03242400000002,C11H7O5N1,2.39783065829623e-05
233.011294,C14H3O3N1,2.74048456396402e-05
233.068809,C12H11O4N1,2.52374322041049e-05
234.01644000000002,C11H6O6,4.38422166541804e-05
234.05282499999998,C12H10O5,7.89372999908848e-05
234.073955,C9H14O7,2.39234550957376e-05
234.08921,C13H14O4,0.000103833797022372
234.125595,C14H18O3,8.70035532265398e-05
236.03209,C11H8O6,8.9584600828032e-05
234.16198,C15H22O2,3.7689391362064e-05
236.07970799999998,C11H12O4N2,2.8405227951467e-05
236.10486,C13H16O4,0.00015056688852068
237.027339,C10H7O6N1,3.10826611918509e-05
236.141245,C14H20O3,6.65076502155695e-05
237.063724,C11H11O5N1,2.7796124893601e-05
237.08485399999998,C8H15O7N1,2.86092791262912e-05
238.01135499999998,C10H6O7,2.97275596959877e-05
238.04774,C11H10O6,0.000102096966054201
238.08412500000003,C12H14O5,0.000175993244772296
238.12051,C13H18O4,0.000124336324554107
238.156895,C14H22O3,2.71646213943864e-05
240.027005,C10H8O7,6.66347567849487e-05
240.06339,C11H12O6,9.71958337164581e-05
240.07462299999997,C10H12O5N2,2.63537094822987e-05
240.09977500000002,C12H16O5,0.000181045910176945
240.13616,C13H20O4,7.25333917029829e-05
240.172545,C14H24O3,2.62554799046374e-05
242.042655,C10H10O7,6.57662502421581e-05
241.073894,C14H11O3N1,2.6770257526805e-05
242.07904000000002,C11H14O6,0.000172531067615078
242.11542500000002,C12H18O5,0.00012141028966764
242.13068,C16H18O2,3.11326296560378e-05
242.15180999999998,C13H22O4,2.54216098166351e-05
242.22458,C15H30O2,2.99270920825927e-05
243.98303099999998,C12H4O4S1,3.65331962242111e-05
244.02192000000002,C9H8O8,3.19645647465659e-05
244.037175,C13H8O5,3.95582574520053e-05
244.058305,C10H12O7,4.92208608392048e-05
244.07356,C14H12O4,5.50487431437115e-05
244.09469,C11H16O6,9.87454479878315e-05
244.109945,C15H16O3,6.30913552631668e-05
244.131075,C12H20O5,2.91390245230386e-05
244.14633,C16H20O2,2.58814335105352e-05
245.03242400000002,C12H7O5N1,2.41842586082464e-05
245.068809,C13H11O4N1,2.68769897110146e-05
246.01644000000002,C12H6O6,4.30132182068778e-05
246.05282499999998,C13H10O5,9.01600804591992e-05
246.073955,C10H14O7,4.16383455897634e-05
246.05619600000003,C10H14O5S1,7.85046004086379e-05
