molecular weight,molecular formula,strength
113.99531,C4H2O4,2.52131028453136e-05
114.013936,C5H6O1S1,2.66523048316281e-05
139.993201,C6H4O2S1,3.08002473252664e-05
131.015333,C3H5O1N3S1,2.5239191773862e-05
143.094629,C7H13O2N1,2.56755668900653e-05
145.110279,C7H15O2N1,2.68269626510133e-05
146.014999,C4H6O2N2S1,2.74320943629654e-05
155.069477,C6H9O2N3,2.76562751459629e-05
164.025564,C4H8O3N2S1,2.56149117740699e-05
166.02661,C8H6O4,4.90324260403646e-05
170.021525,C7H6O5,2.98671311236795e-05
172.97828,C5H3O4N1S1,2.63977373469663e-05
172.012023,C5H4O5N2,2.61220095726506e-05
173.068809,C7H11O4N1,2.56254130606746e-05
174.01644,C6H6O6,2.86239312489227e-05
176.10486,C8H16O4,0.000164278408163137
177.08235,C7H15O2N1S1,3.45770041664797e-05
178.02661,C9H6O4,2.98978989734184e-05
178.062995,C10H10O3,3.96051227084592e-05
180.04226,C9H8O4,4.8393359006744e-05
180.078645,C10H12O3,2.76440784075785e-05
180.11503000000002,C11H16O2,2.8603309823788e-05
182.05791,C9H10O4,2.83610310787698e-05
182.021525,C8H6O5,3.19238324198122e-05
184.037175,C8H8O5,3.6325750961445e-05
185.022527,C9H3O2N3,2.71290159285443e-05
188.068475,C8H12O5,2.81999631596965e-05
188.08373,C12H12O2,3.32167524037371e-05
190.02661,C10H6O4,3.69024017121053e-05
188.10486,C9H16O4,3.2422899822754e-05
190.062995,C11H10O3,3.19432972576864e-05
192.04226,C10H8O4,4.62348648886429e-05
190.074228,C10H10O2N2,6.02196477487296e-05
192.005875,C9H4O5,3.13326323271353e-05
192.078645,C11H12O3,4.18612170197091e-05
194.05791,C10H10O4,3.68267109617223e-05
194.021525,C9H6O5,4.96590071887857e-05
192.089878,C10H12O2N2,2.66768034526932e-05
194.09429500000002,C11H14O3,3.50505477914664e-05
196.037175,C9H8O5,4.0722162570553e-05
198.01644,C8H6O6,4.1710808103685e-05
196.07356,C10H12O4,4.34343991257326e-05
198.05282499999998,C9H10O5,3.32592569855635e-05
198.08921,C10H14O4,3.39729238974918e-05
200.014331,C8H8O4S1,7.83782780284843e-05
200.03209,C8H8O6,3.35079101035519e-05
200.068475,C9H12O5,3.38716567970054e-05
202.084125,C9H14O5,2.67069404366537e-05
202.062995,C12H10O3,3.17385155973778e-05
202.09938000000002,C13H14O2,3.09246461709644e-05
204.04226,C11H8O4,4.09105022915094e-05
203.069477,C10H9O2N3,4.30740827649497e-05
204.078645,C12H12O3,2.95048170212646e-05
204.11503000000002,C13H16O2,2.86539368025126e-05
206.021525,C10H6O5,4.83532070285499e-05
206.05791,C11H10O4,4.86765914552164e-05
206.09429500000002,C12H14O3,4.87846272197846e-05
206.13068,C13H18O2,3.6181151267798e-05
208.00079,C9H4O6,4.33536877351957e-05
208.037175,C10H8O5,6.9524063684198e-05
208.07356,C11H12O4,6.34008410089647e-05
208.109945,C12H16O3,3.88327852791304e-05
210.01644,C9H6O6,4.58173763166834e-05
210.08921,C11H14O4,6.07435817777739e-05
210.05282499999998,C10H10O5,6.26946787711931e-05
210.125595,C12H18O3,3.40760047370913e-05
212.03209,C9H8O6,5.77357188901818e-05
212.10486,C11H16O4,3.04763503201548e-05
214.01135499999998,C8H6O7,3.30063192374961e-05
212.06847499999998,C10H12O5,3.97152087868075e-05
214.04774,C9H10O6,5.46344615812975e-05
214.062995,C13H10O3,3.29126488124259e-05
216.027005,C8H8O7,2.89428076138804e-05
214.08412500000003,C10H14O5,4.47024919126661e-05
216.06339000000003,C9H12O6,3.43602229133426e-05
216.078645,C13H12O3,3.7852866722601e-05
216.11503000000002,C14H16O2,3.06798833919434e-05
216.96811000000002,C6H3O6N1S1,2.96895424070317e-05
218.021525,C11H6O5,3.66148846335539e-05
218.05791,C12H10O4,6.69371985594582e-05
219.064392,C10H9O3N3,0.000340302722253648
218.09429500000002,C13H14O3,4.82841403688411e-05
220.037175,C11H8O5,4.99329869391735e-05
