molecular weight,molecular formula,strength
101.047679,C4H7O2N1,3.49023090119396e-05
109.027612,C4H3O1N3,3.20130258591856e-05
118.041865,C8H6O1,3.22071493126705e-05
128.01096,C5H4O4,3.4187535907638e-05
129.090212,C5H11O1N3,3.61665997978717e-05
135.06841400000002,C8H9O1N1,3.59664415040392e-05
154.037843,C6H6O3N2,3.52452367479698e-05
150.06808,C9H10O2,6.09752663176281e-05
154.074228,C7H10O2N2,3.16667417598936e-05
157.982636,C9H2O1S1,3.30901704591033e-05
158.032758,C5H6O4N2,3.28831175668461e-05
160.030649,C5H8O2N2S1,3.62491861746843e-05
165.045965,C5H11O3N1S1,3.27149521937608e-05
165.053827,C7H7O2N3,3.66005792210104e-05
166.02661,C8H6O4,8.42724616043356e-05
168.017108,C6H4O4N2,3.30931630785634e-05
168.11503000000002,C10H16O2,3.30580287340735e-05
170.05791,C8H10O4,4.39360847347895e-05
172.07356000000001,C8H12O4,5.41467039268624e-05
171.016774,C6H5O5N1,3.49249603305048e-05
174.05282499999998,C7H10O5,3.42591934365881e-05
174.08921,C8H14O4,6.6567397390916e-05
176.10486,C8H16O4,4.75316260801217e-05
178.062995,C10H10O3,5.15638087918692e-05
178.09938000000002,C11H14O2,4.31919971868265e-05
180.04226,C9H8O4,0.000144321669270257
180.078645,C10H12O3,5.21136571496831e-05
180.11503000000002,C11H16O2,3.72616505131223e-05
182.021525,C8H6O5,3.36501871095578e-05
184.07356000000001,C9H12O4,5.46409325506228e-05
182.09429500000002,C10H14O3,3.78624560708035e-05
182.05791,C9H10O4,4.35295845024942e-05
184.109945,C10H16O3,3.87138480402908e-05
186.08921,C9H14O4,4.04245516738587e-05
187.005163,C5H5O3N3S1,4.05194722723134e-05
187.120844,C9H17O3N1,6.19634094227746e-05
188.068475,C8H12O5,4.99026073829613e-05
188.08373,C12H12O2,3.43139203449464e-05
188.141245,C10H20O3,3.61473048425683e-05
188.10486,C9H16O4,0.000244249614501661
190.02661,C10H6O4,4.7292365327598e-05
190.04774,C7H10O6,3.35745780002157e-05
190.062995,C11H10O3,5.22026586444543e-05
190.074228,C10H10O2N2,4.88843892789315e-05
190.09938000000002,C12H14O2,3.92765597016403e-05
192.04226,C10H8O4,3.44062782029795e-05
192.078645,C11H12O3,4.81120454510941e-05
